AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,DateTime
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:40 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:41 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:41 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:41 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:41 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:41 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:41 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:41 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:41 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:42 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:42 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:42 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:42 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:42 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:42 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:43 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:43 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:43 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:43 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:43 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:43 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:44 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:44 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:44 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:44 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:45 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:45 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:45 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:45 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:45 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:45 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:46 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:46 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:46 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:46 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:47 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:47 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:47 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:47 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:48 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:48 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:48 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:48 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:48 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:49 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:49 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:49 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:49 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:49 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:50 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:50 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:50 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:50 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:51 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:51 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:51 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:51 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:51 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:52 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:52 PM,
0,0,0,0,4,4,3,0,3,4,0,0,0,0,2/23/2015 12:00:52 PM,
