OpenEye, AlphaO1, BetaO1, DominantFreqO1, AlphaF3, BetaF3, AlphaF4, BetaF4, AlphaF7, BetaF7, AlphaF8, BetaF8, AlphaAF3, BetaAF3, AlphaAF4, BetaAF4, AlphaFC5, BetaFC5, AlphaFC6, BetaFC6, AlphaP7, BetaP7, AlphaP8, BetaP8, AlphaT7, BetaT7, AlphaT8, BetaT8 
True,18.8810931674365, 21.619646517044,8,3.44908291922304, 8.40696553285422,6.94416090076038, 7.29399206857428,33.6514733359865, 29.0846474744086,2.0649878875833, 1.50902903501225,3.72360846555906, 5.88185058217527,8.9867827915368, 8.94718122329755,2.14338090378387, 5.8539573324602,8.8513195077579, 10.176023551561,15.8506393288326, 27.40567241974,18.8655292931975, 31.4610527157785,15.6998706036792, 30.4621545004519,28.2486611944435, 37.1866377780614,
True,21.7464331094262, 25.1023786873286,8,4.13127644121622, 7.87629102577741,6.25426702889019, 9.25837486003157,24.5727750714045, 16.828916224379,2.92810697941205, 4.01502292233205,4.12968770416961, 6.59512657188295,11.9253707330797, 9.58276065627878,3.41772691382543, 7.06141092018433,8.39312649479702, 8.31040084801743,14.2897206976796, 20.1841144075356,21.878853413833, 24.9750129793811,11.4436161298294, 26.9365152195142,26.3185880670999, 45.0643991765756,
True,14.6276782737564, 27.1832833742901,27,6.99133249400273, 10.445725959923,19.0852529562674, 21.0470377425633,14.848079935404, 25.9896413677541,10.2671085331686, 14.18818488544,3.3754444713578, 7.36475741744209,23.4655413105725, 20.900472652139,4.01963920974808, 7.59415783001242,8.11188059642137, 12.2553686199635,11.3267870437904, 17.9917048462638,21.2193700251341, 20.0326528554283,12.4337059485075, 24.6891979403616,19.8057070084734, 38.6506215744582,
True,11.5193346131359, 27.499920998188,28,6.49062381483578, 9.99594994841786,21.3206882526583, 20.2211317654137,22.2738133564374, 29.0244670778065,10.3542130508669, 13.3887251873838,4.98409246437815, 9.06760851205694,25.2764338839815, 19.4806529803369,3.04622441945935, 7.66377593891041,7.43004389809665, 11.7479478202198,12.8079411109067, 21.3007362488994,18.5057071042042, 24.689529201505,19.3149684507742, 24.3151155107447,31.0547960067923, 39.1693864979802,
True,16.4354766938714, 22.778015877564,4,6.13265614534195, 8.35933839435925,8.75814078364743, 9.22200316987338,22.3412389579492, 23.7902740161646,0, 0,7.38021616803225, 7.29185976458349,4.57526782096697, 8.03653718304228,2.5374359964283, 6.83326538620748,7.08692465286823, 7.2449948383778,15.04521083796, 24.485848333221,17.7034610389088, 29.3422345891358,21.1706066648052, 29.5612667024594,30.0320881175546, 40.6026203729003,
True,17.5436839908165, 24.1094342426903,12,4.95643840621705, 10.2193949448074,4.07072809722851, 8.18014008144077,12.4176816803663, 27.6576183476899,0, 0,5.18533324867537, 8.02004033253394,4.06451332988483, 6.8916552767334,3.69173487674983, 6.89317576716842,6.06198370558644, 6.41450472113702,15.2996919218837, 24.4952686868962,14.3291821562647, 30.3463341832667,19.6878240416337, 25.715610293686,23.6539458189164, 45.5599534600068,
True,12.7213327495088, 24.9645108043364,7,6.8056946398051, 9.28833483881108,5.32790783331351, 10.7750509400008,11.8994518700657, 21.0474739175112,0, 0,4.00663506021998, 8.86121105350719,5.28316521225835, 8.32335657047901,5.09102503761131, 8.33498240638221,3.14076995595186, 2.99680546349521,20.5622571136738, 23.2382560758838,22.8347595525547, 24.5236494964151,13.9402245005883, 31.8644730053412,31.1423437220356, 42.3247701708627,
True,11.5207246984074, 24.1740753226152,6,6.27692490535946, 9.2217330933887,4.62113440921089, 10.0780449480169,28.7756900187716, 47.2904210099683,0, 0,4.2497582141135, 8.47167919323756,4.62730228447632, 10.102575870667,4.48759588236051, 8.01075281036077,4.26819134033833, 4.5576253454893,22.8960727279557, 25.7269969665854,29.0052513343764, 21.5335879187285,18.5818978710667, 37.1036630677985,29.9893608996328, 36.2357142558417,
True,14.7380706425611, 25.8975695410803,7,3.91411541794494, 9.72207011028745,4.07161719809724, 9.65663291446779,42.095443317777, 51.8337103745511,1.41906790610773, 1.16220432575405,3.97005535452135, 8.00300921333786,3.56799174799741, 8.40994745581799,3.67681252514048, 6.34110728661029,3.56744761718167, 4.82653086910994,16.0887105107239, 21.6809616815403,16.4414612865169, 21.9076213199153,22.3089749120129, 31.294070528062,19.6205537673102, 41.2980287520322,
True,11.4188449791927, 32.6226093916271,4,4.47881561486548, 8.784767285308,2.64515310098963, 11.8159406306427,26.7941467130923, 35.738705284555,1.40424300216753, 1.23277213457305,3.67010560069735, 5.88753683484366,3.15753476369607, 4.77345827113419,3.90362135018449, 6.19993091740455,5.040426993902, 6.19244678592936,18.8893632897183, 26.347568007952,17.2355210831904, 28.9163637288409,24.8307284515477, 30.8622749337102,21.7200695823417, 48.7988969156468,
